order_id,purchase_ts,ship_ts,delivery_ts,refund_ts
2b92359189c,1/21/19,1/24/19,1/31/19,
9da9da87dbf,1/22/19,1/24/19,1/31/19,
1f8a79ea84d,1/22/19,1/24/19,2/1/19,
b618e3f5c25,1/18/19,1/24/19,2/2/19,
3ae6b8a5abe,1/19/19,1/24/19,2/2/19,
e9eb716fb8b,1/20/19,1/24/19,2/2/19,
dc1d04999ab,1/23/19,1/24/19,2/2/19,
e92c6655d67,1/23/19,1/24/19,2/2/19,
5f49e754f04,1/18/19,1/24/19,2/3/19,
c652d77459f,1/19/19,1/24/19,2/3/19,
24c645d1b04,1/18/19,1/24/19,2/4/19,
6655587b01e,1/18/19,1/24/19,2/4/19,
761df558c23,1/18/19,1/24/19,2/4/19,
77e114e2eff,1/23/19,1/24/19,2/4/19,
bf65c5d6f79,1/22/19,1/24/19,2/5/19,
fe270d38f14,1/23/19,1/24/19,2/5/19,
1194a8be227,1/23/19,1/24/19,2/5/19,2/10/19
84e04484dbb,1/18/19,1/24/19,2/6/19,
44f3b286a84,1/19/19,1/24/19,2/6/19,
20fd843f1bf,1/21/19,1/24/19,2/6/19,
8778e8f7f3a,1/23/19,1/24/19,2/6/19,
2a0b033e30a,10/2/19,10/7/19,10/14/19,
7fc30e671bd,10/2/19,10/7/19,10/14/19,
a866ab7ca35,10/2/19,10/7/19,10/14/19,
47a95036413,10/4/19,10/7/19,10/14/19,
a4517a7186b,10/4/19,10/7/19,10/14/19,
ee7617559fb,10/4/19,10/7/19,10/14/19,
eec63f21873,10/4/19,10/7/19,10/14/19,
bc859b6c395,10/5/19,10/7/19,10/14/19,
fc6dea3b624,10/5/19,10/7/19,10/14/19,
ce525ef1add,10/3/19,10/7/19,10/15/19,
d24fba13ffc,10/3/19,10/7/19,10/15/19,
ef94df0a391,10/3/19,10/7/19,10/15/19,
12810ff37c7,10/6/19,10/7/19,10/15/19,
ba937123f57,10/6/19,10/7/19,10/15/19,
4a8eabd960f,10/6/19,10/7/19,10/15/19,
b5124ca6b5f,10/1/19,10/7/19,10/16/19,
c12a86fa6a9,10/3/19,10/7/19,10/16/19,
808fc300516,10/4/19,10/7/19,10/16/19,
882c20771d1,10/4/19,10/7/19,10/16/19,
ff200b8b4f8,10/4/19,10/7/19,10/16/19,
3cd695956c9,10/4/19,10/7/19,10/16/19,10/23/19
3359d5cc963,10/5/19,10/7/19,10/16/19,
a41f98c33f3,10/6/19,10/7/19,10/16/19,
8dbd6bebbc9,10/1/19,10/7/19,10/17/19,
d4116d16402,10/3/19,10/7/19,10/17/19,
b49a3f48e01,10/2/19,10/7/19,10/18/19,
b58b5a4c548,10/2/19,10/7/19,10/18/19,
481cb721fc3,10/4/19,10/7/19,10/18/19,
7a453bcf37f,10/5/19,10/7/19,10/18/19,
a1330969d72,10/6/19,10/7/19,10/18/19,
28f092d3787,10/1/19,10/7/19,10/19/19,
bd0ec470911,10/2/19,10/7/19,10/19/19,
5962e11c89f,10/4/19,10/7/19,10/19/19,
169f93765d2,10/5/19,10/7/19,10/19/19,
2bafb4ecb08,10/4/19,10/7/19,10/20/19,
784e0ad4a7e,10/4/19,10/7/19,10/20/19,
247696eaf38,10/5/19,10/7/19,10/20/19,
55869f7a605,10/2/19,10/7/19,10/21/19,
fb8278461e7,10/3/19,10/7/19,10/21/19,
8404774ebc3,10/4/19,10/7/19,10/21/19,
06bd9f59677,10/5/19,10/7/19,10/21/19,
59cab4e5905,10/5/19,10/7/19,10/21/19,
b6574e189c6,10/5/19,10/7/19,10/21/19,
2583db8ada5,6/13/20,6/19/20,6/26/20,
b3879453712,6/14/20,6/19/20,6/26/20,
93ecc9a6f8a,6/15/20,6/19/20,6/26/20,
9f088fb0d27,6/15/20,6/19/20,6/26/20,
5dc0f7b474e,6/16/20,6/19/20,6/26/20,
87ce6c39db6,6/16/20,6/19/20,6/26/20,
0cd2166be98,6/17/20,6/19/20,6/26/20,
d2260b8a00b,6/17/20,6/19/20,6/26/20,
f8322ad496d,6/17/20,6/19/20,6/26/20,
4761e2b30d8,6/18/20,6/19/20,6/26/20,
b1505cfa86e,6/18/20,6/19/20,6/26/20,
10e4c393a98,6/13/20,6/19/20,6/27/20,
6b3dc2a6c4d,6/13/20,6/19/20,6/27/20,
8d9566e5fbc,6/14/20,6/19/20,6/27/20,7/1/20
1198ce78d43,6/14/20,6/19/20,6/27/20,
4074da8a721,6/15/20,6/19/20,6/27/20,
4446c2e32f8,6/17/20,6/19/20,6/27/20,
818a3e24712,6/17/20,6/19/20,6/27/20,
8d3ade0ca30,6/17/20,6/19/20,6/27/20,
d2f287246d3,6/18/20,6/19/20,6/27/20,
0e682257f97,6/13/20,6/19/20,6/28/20,
5e433ffcc42,6/13/20,6/19/20,6/28/20,
82b418c9c58,6/13/20,6/19/20,6/28/20,
24454a72deb,6/14/20,6/19/20,6/28/20,
a4d12a295c8,6/14/20,6/19/20,6/28/20,
c63124129e5,6/14/20,6/19/20,6/28/20,
e0d89cf885e,6/14/20,6/19/20,6/28/20,
4ad3986eca6,6/15/20,6/19/20,6/28/20,
71ca53de748,6/15/20,6/19/20,6/28/20,
f20d4a3558a,6/15/20,6/19/20,6/28/20,
55195a2de9d,6/16/20,6/19/20,6/28/20,
